,ndc,rxcui,ingredient_rxcui
45324,24385030410,1000990,7812
45325,24385030630,239355,
45326,24385030789,314221,9796
45327,24385032178,237735,
45328,24385033240,253017,6581
45329,24385033734,308763,19478
45330,24385034040,237870,612
45331,24385034040,237870,6581
45332,24385034040,237870,9796
45333,24385035122,1117562,8896
45334,24385035122,1117562,28889
