,age,ageCount,label
20,40.0,1936,No lab matched
21,72.0,11184,No lab matched
22,74.0,6707,No lab matched
23,87.0,2303,No lab matched
24,104.0,51,No lab matched
25,68.0,12215,No lab matched
26,43.0,2706,No lab matched
27,75.0,6965,No lab matched
28,18.0,33,No lab matched
29,95.0,917,No lab matched
30,8.0,3,No lab matched
31,7.0,2,No lab matched
32,88.0,2195,No lab matched
33,61.0,12493,No lab matched
34,78.0,4819,No lab matched
35,93.0,1165,No lab matched
36,14.0,8,No lab matched
37,108.0,6,No lab matched
38,48.0,4948,No lab matched
39,65.0,14058,No lab matched
40,55.0,8812,No lab matched
41,89.0,2009,No lab matched
42,80.0,3884,No lab matched
43,96.0,705,No lab matched
44,29.0,285,No lab matched
45,28.0,216,No lab matched
46,21.0,60,No lab matched
47,82.0,3194,No lab matched
48,35.0,881,No lab matched
49,25.0,166,No lab matched
50,15.0,8,No lab matched
51,10.0,2,No lab matched
52,69.0,12084,No lab matched
53,42.0,2506,No lab matched
54,50.0,5733,No lab matched
55,60.0,11753,No lab matched
56,85.0,2738,No lab matched
57,17.0,28,No lab matched
58,110.0,2,No lab matched
59,71.0,11413,No lab matched
60,56.0,9522,No lab matched
61,49.0,5546,No lab matched
62,103.0,73,No lab matched
63,31.0,367,No lab matched
64,16.0,16,No lab matched
65,63.0,13336,No lab matched
66,90.0,1703,No lab matched
67,97.0,554,No lab matched
68,107.0,12,No lab matched
69,22.0,113,No lab matched
70,70.0,11741,No lab matched
71,67.0,13023,No lab matched
72,77.0,5821,No lab matched
73,57.0,9964,No lab matched
74,52.0,6522,No lab matched
75,37.0,1261,No lab matched
76,92.0,1457,No lab matched
77,27.0,198,No lab matched
78,20.0,69,No lab matched
79,34.0,747,No lab matched
80,59.0,11197,No lab matched
81,44.0,2960,No lab matched
82,84.0,2905,No lab matched
83,94.0,1034,No lab matched
84,102.0,103,No lab matched
85,111.0,2,No lab matched
86,58.0,10536,No lab matched
87,41.0,2185,No lab matched
88,73.0,8579,No lab matched
89,91.0,1615,No lab matched
90,98.0,452,No lab matched
91,24.0,149,No lab matched
92,11.0,3,No lab matched
93,113.0,1,No lab matched
94,9.0,5,No lab matched
95,64.0,13549,No lab matched
96,39.0,1753,No lab matched
97,30.0,316,No lab matched
98,105.0,36,No lab matched
99,12.0,6,No lab matched
100,45.0,3294,No lab matched
101,62.0,13044,No lab matched
102,79.0,4313,No lab matched
103,32.0,487,No lab matched
104,99.0,314,No lab matched
105,109.0,3,No lab matched
106,5.0,1,No lab matched
